answer_id,question_id,answer_text,is_correct
0,0,Structure Query Language,0
1,0, Sequential Query Language,0
2,0, Systematic Query Language,0
3,0, Structured Question Language,0
4,1,FETCH,0
5,1, EXTRACT,0
6,1, SELECT,0
7,1, RECOVER,0
8,2,To specify which columns to select,0
9,2, To specify which table to select from,0
10,2, To filter rows based on a specified condition,0
11,2, To order the results,0
12,3,MODIFY,0
13,3, UPDATE,0
14,3, ALTER,0
15,3, CHANGE,0
16,4,Orders the result set in ascending order,0
17,4, Group rows that have the same values into summary rows,0
18,4, Filters rows based on a specified condition,0
19,4, Joins two or more tables,0
20,5,AND,0
21,5, OR,0
22,5, NOT,0
23,5, LIKE,0
24,6,Filters rows based on a specified condition,0
25,6, Group rows that have the same values into summary rows,0
26,6, Orders the result set based on specified columns,0
27,6, Joins two or more tables,0
28,7,TRUNCATE,0
29,7, DELETE,0
30,7, DROP,0
31,7, REMOVE,0
32,8,Filters duplicate rows from the result set,0
33,8, Orders the result set in ascending order,0
34,8, Group rows that have the same values into summary rows,0
35,8, Joins two or more tables,0
36,9,MODIFY,0
37,9, INSERT,0
38,9, ALTER,0
39,9, ADD,0
