title,description,start_date,end_date,goal_minutes,reward_item_id
Study Marathon 217,Benefit hotel heart nearly these rule think often poor,2025-07-05,2025-08-08,600,88
Pomodoro Push 258,Health loss thus each decide sense push many Democrat turn common good year recognize,2025-08-19,2025-09-19,600,74
Zen Challenge 213,Green specific share likely exist state spend scene onto cold building,2025-09-17,2025-10-15,600,75
No Distractions 69,Industry determine product development later leader word low,2025-09-24,2025-10-25,600,5
Study Marathon 193,Less product recent raise house change anyone realize voice prove,2025-10-17,2025-11-17,600,58
Mind Growth 276,Special leave less usually summer if,2025-08-30,2025-10-04,600,10
Focus Blitz 245,Remember world under fact show spring people,2025-08-18,2025-09-21,600,39
Brain Boost 284,Hear until land themselves can read,2025-11-13,2025-12-16,600,77
Deep Work Sprint 256,Sea camera stay skin soldier well skin want investment student service none,2025-07-09,2025-08-06,600,92
Learning Rush 78,Appear kind to spend ahead deep middle dog expert give risk,2025-07-16,2025-08-16,600,5
Knowledge Quest 40,Lose perform look watch computer short tough sort,2025-09-04,2025-10-04,600,94
Knowledge Quest 288,Particular successful bed painting watch common later girl method agent somebody run,2025-08-01,2025-09-01,600,55
Mastery Month 36,Child early free phone magazine language organization instead,2025-05-27,2025-06-29,600,4
Mind Growth 112,Wide authority leave financial candidate since voice truth,2025-07-01,2025-07-29,600,77
Knowledge Quest 290,Finish manage check after brother later thought safe big,2025-05-31,2025-07-02,600,52
Learning Rush 11,These mind less talk later business free also cup each citizen,2025-12-14,2026-01-17,600,82
Discipline Drive 199,Care act reality back quite husband cost so,2025-12-01,2025-12-29,600,86
Study Marathon 36,Pressure chair director improve make about so,2025-10-16,2025-11-13,600,87
Zen Challenge 13,Professional tend age program should employee,2025-10-12,2025-11-14,600,88
Mastery Month 234,Next event author crime should include street information item again week enough type,2025-08-23,2025-09-26,600,46
Brain Boost 3,Surface machine success offer now themselves manage fall finish member message suddenly skill different,2025-07-10,2025-08-13,600,97
Mastery Month 298,Feel war through candidate effort them five senior local training really us enough,2025-07-05,2025-08-09,600,84
Knowledge Quest 189,Very into kid blood compare especially left,2025-05-16,2025-06-19,600,89
Mastery Month 240,Understand take debate stock issue feeling,2025-11-10,2025-12-08,600,97
Pomodoro Push 151,Respond policy few begin second adult model particular full person wear professional,2025-07-20,2025-08-18,600,57
Knowledge Quest 58,Affect fish management former prove happen coach involve daughter our,2025-09-25,2025-10-27,600,18
Study Marathon 170,Fast ready star local much surface,2025-11-07,2025-12-09,600,1
Focus Blitz 121,Practice painting but cut suggest important try movement easy,2025-05-20,2025-06-18,600,76
Mastery Month 74,Tree herself ten coach specific place,2025-07-16,2025-08-13,600,73
Focus Blitz 285,Minute born bring item material on both,2025-08-22,2025-09-22,600,35
Knowledge Quest 238,About religious experience reduce score gun image late child,2025-05-24,2025-06-23,600,9
Zen Challenge 240,Interest leave visit role great network certain message low those despite allow,2025-10-08,2025-11-07,600,21
