host_id,start_time,end_time,topic_id,technique_type,short_break_min,long_break_min,session_type
58,2025-10-29 08:32:31.367839,2025-10-29 10:25:31.367839,51,pomodoro,10,15,group
76,2025-10-25 07:17:31.367874,2025-10-25 08:25:31.367874,37,pomodoro,10,15,group
76,2025-10-22 09:47:31.367888,2025-10-22 11:26:31.367888,60,flowtime,10,25,group
24,2025-11-09 03:28:31.367900,2025-11-09 04:46:31.367900,34,flowtime,5,25,solo
81,2025-10-22 01:13:31.367910,2025-10-22 01:53:31.367910,61,pomodoro,10,25,solo
41,2025-10-26 12:10:31.367920,2025-10-26 13:35:31.367920,82,flowtime,5,25,group
34,2025-10-16 11:49:31.367930,2025-10-16 12:07:31.367930,32,custom,5,20,solo
55,2025-10-30 05:01:31.367940,2025-10-30 06:47:31.367940,28,flowtime,5,15,group
33,2025-11-09 00:26:31.367949,2025-11-09 01:53:31.367949,64,pomodoro,15,15,group
34,2025-10-29 03:57:31.367958,2025-10-29 05:34:31.367958,6,pomodoro,15,15,solo
79,2025-10-30 08:04:31.367967,2025-10-30 08:31:31.367967,5,pomodoro,10,15,group
20,2025-10-30 14:02:31.367976,2025-10-30 15:34:31.367976,50,custom,10,15,group
33,2025-10-26 09:34:31.367984,2025-10-26 11:19:31.367984,25,custom,10,25,group
26,2025-11-12 21:29:31.367993,2025-11-12 22:12:31.367993,78,custom,5,25,group
96,2025-11-02 01:50:31.368002,2025-11-02 03:48:31.368002,86,pomodoro,5,20,group
15,2025-10-30 03:00:31.368011,2025-10-30 04:11:31.368011,44,pomodoro,10,15,group
100,2025-10-25 18:53:31.368020,2025-10-25 20:28:31.368020,17,pomodoro,5,20,group
67,2025-10-26 00:20:31.368029,2025-10-26 01:26:31.368029,53,flowtime,5,20,solo
63,2025-10-27 14:49:31.368037,2025-10-27 15:37:31.368037,80,custom,5,15,group
85,2025-11-03 14:54:31.368046,2025-11-03 15:19:31.368046,69,flowtime,5,15,solo
56,2025-11-04 03:26:31.368055,2025-11-04 04:15:31.368055,57,custom,10,20,solo
41,2025-11-13 01:05:31.368064,2025-11-13 02:46:31.368064,17,custom,10,15,solo
93,2025-10-21 04:23:31.368073,2025-10-21 05:38:31.368073,71,flowtime,15,20,group
6,2025-11-03 17:15:31.368081,2025-11-03 18:48:31.368081,56,custom,10,25,solo
27,2025-11-06 02:23:31.368090,2025-11-06 03:56:31.368090,64,custom,10,15,solo
69,2025-11-05 04:15:31.368099,2025-11-05 05:38:31.368099,77,custom,10,15,group
61,2025-11-13 15:08:31.368108,2025-11-13 17:01:31.368108,66,pomodoro,10,20,group
98,2025-10-18 17:14:31.368117,2025-10-18 18:39:31.368117,88,flowtime,15,20,group
83,2025-10-28 15:29:31.368126,2025-10-28 17:22:31.368126,85,flowtime,5,25,solo
91,2025-10-20 14:35:31.368135,2025-10-20 14:52:31.368135,30,pomodoro,15,15,group
7,2025-10-22 10:08:31.368144,2025-10-22 11:32:31.368144,84,pomodoro,15,25,group
90,2025-10-21 17:36:31.368153,2025-10-21 18:07:31.368153,89,flowtime,10,15,solo
43,2025-10-26 00:56:31.368162,2025-10-26 02:13:31.368162,19,custom,5,20,solo
43,2025-10-28 23:58:31.368171,2025-10-29 00:35:31.368171,80,custom,10,25,solo
44,2025-11-10 04:42:31.368179,2025-11-10 05:42:31.368179,17,custom,5,20,group
73,2025-10-28 12:50:31.368188,2025-10-28 13:19:31.368188,100,custom,15,15,solo
51,2025-11-14 10:19:31.368196,2025-11-14 11:19:31.368196,91,flowtime,5,20,group
25,2025-10-19 17:04:31.368205,2025-10-19 19:04:31.368205,93,flowtime,10,15,solo
13,2025-10-30 01:32:31.368214,2025-10-30 03:06:31.368214,81,pomodoro,5,15,group
36,2025-10-24 21:42:31.368222,2025-10-24 22:33:31.368222,29,custom,15,20,solo
6,2025-10-28 01:58:31.368238,2025-10-28 02:42:31.368238,97,custom,10,20,solo
46,2025-11-02 10:30:31.368248,2025-11-02 11:31:31.368248,3,flowtime,15,20,solo
34,2025-10-18 17:01:31.368257,2025-10-18 19:00:31.368257,82,pomodoro,10,20,group
