course_code,course_name,course_link,page_number
N/A,ANT 306 - Analysis of Archaeological Materials,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=3347,2
N/A,ANT 308 - Environmental Archaeology,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=3348,2
N/A,"ANT 315 - Ethnography: Methods, Ethics, and Practice",https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=3350,2
N/A,ANT 320 - Anthropology & the Museum,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=3351,2
N/A,ANT 350 - International Development,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=3354,2
N/A,ANT 360 - Public Archaeology,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=3356,2
N/A,ANT 380 - African American Historical Archaeology,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=3358,2
N/A,ANT 395 - Topics in Anthropology,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=3359,2
N/A,"ANT 410 - Japan: Archaeology, Environmental History and Multicultural Perspectives",https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=3363,2
N/A,ANT 495 - Topics in Anthropology,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=3370,2
N/A,ANT 508 - Environmental Archaeology,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=3372,2
N/A,"ANT 515 - Ethnography: Methods, Ethics, and Practice",https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=3373,2
N/A,ANT 560 - Public Archaeology,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=3374,2
N/A,ARA 101 - Beginning Arabic I,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=3493,2
N/A,ARA 102 - Beginning Arabic II,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=3502,2
N/A,ARA 150 - Language Table,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=3513,2
N/A,ARA 201 - Intermediate Arabic I,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=3521,2
N/A,ARA 202 - Intermediate Arabic II,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=3531,2
N/A,ART 124 - Cre8: The Art of Creativity,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2516,2
N/A,"ART 141 - Surface, Space, Time (2D)",https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2517,2
N/A,"ART 142 - Surface, Space, Time (3D)",https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2518,2
N/A,ART 151 - Fundamentals of Perceptual Drawing,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2519,2
N/A,ART 170 - The Power of Amateur Photography,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2520,2
N/A,ART 222 - Digital Art & Design,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2523,2
N/A,ART 231 - Introduction to Ceramics I,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2524,2
N/A,ART 232 - Introduction to Ceramics II,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2525,2
N/A,ART 241 - Introduction to The Visual Book,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2526,2
N/A,ART 251 - Drawing: Media and Strategies,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2527,2
N/A,ART 261 - Introduction to Painting,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2528,2
N/A,ART 271 - Photography: Analog to Digital,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2529,2
N/A,ART 281 - Introduction to Printmaking: Intaglio and Relief,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2530,2
N/A,ART 282 - Introduction to Printmaking: Lithography and Screen Printing,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2531,2
N/A,ART 291 - Sculpture: Additive and Subtractive Processes,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2532,2
N/A,ART 292 - Sculpture: Altered and Constructed Processes,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2533,2
N/A,ART 312 - Topics in Studio Art,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2537,2
N/A,ART 321 - Exploring Time-Based Art & Design,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2541,2
N/A,ART 332 - Intermediate Ceramics,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2550,2
