course_code,course_name,course_link,page_number
ANT306,Analysis of Archaeological Materials,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=3347,2
ANT308,Environmental Archaeology,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=3348,2
ANT315,"Ethnography: Methods, Ethics, and Practice",https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=3350,2
ANT320,Anthropology & the Museum,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=3351,2
ANT350,International Development,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=3354,2
ANT360,Public Archaeology,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=3356,2
ANT380,African American Historical Archaeology,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=3358,2
ANT395,Topics in Anthropology,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=3359,2
ANT410,"Japan: Archaeology, Environmental History and Multicultural Perspectives",https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=3363,2
ANT495,Topics in Anthropology,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=3370,2
ANT508,Environmental Archaeology,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=3372,2
ANT515,"Ethnography: Methods, Ethics, and Practice",https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=3373,2
ANT560,Public Archaeology,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=3374,2
ARA101,Beginning Arabic I,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=3493,2
ARA102,Beginning Arabic II,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=3502,2
ARA150,Language Table,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=3513,2
ARA201,Intermediate Arabic I,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=3521,2
ARA202,Intermediate Arabic II,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=3531,2
ART124,Cre8: The Art of Creativity,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2516,2
ART141,"Surface, Space, Time (2D)",https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2517,2
ART142,"Surface, Space, Time (3D)",https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2518,2
ART151,Fundamentals of Perceptual Drawing,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2519,2
ART170,The Power of Amateur Photography,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2520,2
ART222,Digital Art & Design,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2523,2
ART231,Introduction to Ceramics I,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2524,2
ART232,Introduction to Ceramics II,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2525,2
ART241,Introduction to The Visual Book,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2526,2
ART251,Drawing: Media and Strategies,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2527,2
ART261,Introduction to Painting,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2528,2
ART271,Photography: Analog to Digital,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2529,2
ART281,Introduction to Printmaking: Intaglio and Relief,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2530,2
ART282,Introduction to Printmaking: Lithography and Screen Printing,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2531,2
ART291,Sculpture: Additive and Subtractive Processes,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2532,2
ART292,Sculpture: Altered and Constructed Processes,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2533,2
ART312,Topics in Studio Art,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2537,2
ART321,Exploring Time-Based Art & Design,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2541,2
ART332,Intermediate Ceramics,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2550,2
ART341,The Visual Book II: Historical Influences on Contemporary Artists’ Books,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2551,2
ART342,Book Arts Summer Workshop,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2552,2
ART352,Experimental Drawing,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2553,2
ART361,Intermediate Drawing and Painting: The Figure,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2554,2
ART372,Digital Photography,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2555,2
ART382,Experimental Printmaking,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2556,2
ART393,Topics in Sculpture,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2557,2
ART400,Internship in the Visual Arts,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2559,2
ART401,Senior Seminar in Studio Art,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2560,2
ART407,Advanced Problems in Art,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2562,2
ART408,Independent Study in Art,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2563,2
ART412,Topics in Studio Art,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2567,2
ART431,Advanced Ceramics I,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2571,2
ART432,Advanced Ceramics II,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2572,2
ART441,Advanced Studio in Book Arts,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2573,2
ART461,Advanced Drawing and Painting I,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2574,2
